hidden0,hidden1,hidden2,hidden3,hidden4,hidden5,hidden6,hidden7,hidden8,hidden9,hidden10,hidden11,hidden12,hidden13,hidden14,hidden15,hidden16,hidden17,hidden18,hidden19,hidden20,hidden21,hidden22,hidden23,hidden24,hidden25
4.761436532655489995e-02,-6.554463069079089488e-01,-3.532352160634167348e-01,1.929457672203377661e-01,-4.512076500388470524e-01,4.525211067731719772e-01,-2.742211189837993057e-01,-5.248175472769207595e-01,4.674375238923995646e-01,4.954283359067959136e-01,1.503417024533987512e+00,-6.777388959153904935e-01,1.741192748051789418e-01,8.459008014974217504e-01,-2.156265942922472312e-01,6.390613013868055858e-02,-6.081562040268984060e-01,-5.184621739345008917e-01,-8.354345480312328487e-01,-8.367343662382937808e-01,-2.781057518067393541e-01,-5.092472389865877469e-01,-2.563468645540197821e-01,-8.152397859678669478e-01,-6.215967951215203291e-01,3.675450438668952102e-02
8.426926289632826750e-01,-5.825692380042224450e-01,-6.604510323635359725e-01,-7.558747572275138493e-01,-9.053449925958447775e-01,-6.118882266859345526e-02,-3.873562971256383491e-01,-6.977671365610202958e-01,1.366397119217562350e+00,-6.275791331795337324e-01,6.945913021483046679e-01,-8.891324014281298815e-01,-1.033853997969315985e+00,4.107801459151303458e-01,-6.266574761549207340e-01,-3.903616166512881569e-01,-1.004140271131646944e+00,-8.474911662676254398e-01,-8.537009882404771322e-01,1.798244919309379686e-01,-6.934743570025517778e-01,-5.980217010671451394e-01,-7.967389619327661654e-01,-7.888097266651143968e-01,-8.077504148265366446e-01,-6.051314726207588368e-01
7.077002334475117618e-01,-6.105212154555035298e-01,-5.259552465381044373e-01,-4.878406233465646946e-01,-7.768743700091930160e-01,-2.944589933697041029e-01,-3.312857067025913316e-01,-5.114876071288689818e-01,1.045235626380648153e+00,-4.572321895097806732e-01,6.502600050432590928e-01,-7.262365777709253178e-01,-6.130027282382092269e-01,7.362234805884541877e-02,-6.162732324245130400e-01,-3.185572299403421348e-01,-8.206693763149125465e-01,-6.431508299996370193e-01,-5.316721138998832252e-01,1.995192608875304141e-01,-6.452149689289828904e-01,-4.607667871808940330e-01,-6.014420905165499542e-01,-6.173452910761318968e-01,-7.188130258170675191e-01,-6.170794542334423483e-01
8.064958859593356344e-01,-3.624474546163354294e-01,-5.151450161897103142e-01,-9.791957961903861030e-01,-6.521665269734617798e-01,-9.255607719571629088e-01,-6.358785572081554482e-01,-3.970618811944424675e-01,9.401615504285187885e-01,-5.466033157366219086e-01,-1.028928135536156141e+00,-5.948001058299786648e-01,2.456789212112714949e-01,-7.006663684148706217e-01,-4.703087010069497698e-01,-6.352886992960212753e-01,-6.443225421997165192e-01,-3.861863454511003657e-01,-3.989082284196294736e-01,1.164425221142747047e+00,-4.840301783021921933e-01,-4.753721543550594730e-01,-4.845566467360927776e-01,-3.894385578578534735e-01,-6.683531427212040521e-01,-4.623386569527496159e-01
5.983321681458722008e-01,-1.159611562817064734e-01,-2.379564800938600844e-01,-2.194804918835556173e-01,-2.075033567615507946e-01,1.633832749215488045e-01,-4.206439063789009780e-01,-4.533287207361296201e-01,4.384889967592251470e-01,-6.884419589442416498e-01,2.860617730574970818e-01,-2.362962507287354463e-01,-7.495945544719282427e-01,-5.590410283631246369e-01,-2.200524950616127851e-01,-1.066624065847716213e-01,-3.004867267132553255e-01,-3.676172337887927966e-01,-3.067500773627611088e-01,8.580554638266196799e-02,-2.772214738655246480e-01,-1.728356889476581337e-01,-2.173484607252603173e-01,-9.993076682080910544e-02,-2.187256707694334168e-01,-3.504033647622009640e-01
1.761380499698271818e-01,-1.071771358232656901e+00,-1.064166807961706596e+00,2.054082302146852168e+00,-1.728270583514432079e+00,-1.385183677141253344e+00,-6.136049901475878476e-01,-5.740431247769950396e-01,1.398204203836713067e+00,-6.158524807108464172e-01,-6.511333621473642808e-01,-1.685142482391893015e+00,2.093657514556856558e+00,-8.597319318596968740e-01,-8.835227138001959801e-01,1.295714667453271129e+00,-1.743106061425501174e+00,-6.504348822238861239e-01,-6.191842551046039533e-01,6.356780046792072092e-01,-1.422493339638102317e+00,-9.877474485191823916e-01,-2.393420279056527322e-01,-1.433997588216600949e+00,-1.082604366292836628e+00,-1.146807699825258764e+00
5.013993069075637354e-01,-2.259488400280485199e-01,-3.389720390617368961e-01,-4.612680384143429957e-01,-3.447062323231698255e-01,-2.611796547063265361e-01,-2.996522325209713400e-01,-2.598754070647882886e-01,2.811324663699690252e-01,-2.991914842524965867e-01,-3.107651156078404808e-01,-2.824657169918806665e-01,7.868272377184540312e-02,2.109648007915495282e-01,-3.073289949843794888e-01,-2.693990268144234868e-02,-1.262623171954943002e-01,-3.135050248397142081e-01,-3.046029496684570792e-01,4.337343486765176115e-01,-2.119794244539831563e-01,-3.692849320785958067e-01,-4.863834490634429963e-01,-3.284362259066629930e-01,-1.884836539744461636e-01,-4.560577586066357769e-01
1.141458570230512670e+00,-3.491227437815623835e-01,-6.794739405124275988e-01,-2.228116567144390325e-01,-7.722869263820311136e-01,7.127022525646038442e-01,-2.472583926805727306e-01,-6.556774093454004193e-01,1.880160891746094354e+00,-1.213102538263331198e-01,-1.721199209977234856e+00,-1.110314496580028010e+00,-1.311467010582281212e+00,4.097202624516883551e-01,-4.923300793639938666e-01,-1.295657202687306331e+00,-9.082819033385320928e-01,-9.610430354180511392e-01,-9.537288509723286234e-01,-3.971069768459267735e-01,-8.599676297395190128e-01,-6.591717465449328239e-01,-4.588417474185471634e-01,-9.856956759739755602e-01,-5.385561796427403847e-01,-1.400103271933056115e-01
0.000000000000000000e+00,1.449092345256764724e-01,1.188147808842791170e-01,1.366690935847258148e-01,4.708855097770959786e-01,2.806527074144459233e-01,2.033154271211273442e-02,8.615387573667596111e-02,-6.748859014643134868e-01,8.384708708097850238e-02,-1.187456652593642525e-01,5.373230759917898558e-01,3.670219201227825079e-01,-8.263943510749408028e-02,4.810562680720089496e-02,1.206256224104339386e-01,5.179284487257176384e-01,1.692663709656891391e-01,2.255036905822404847e-01,-2.292578550429451856e-01,2.225994018660989449e-01,1.127217882474273875e-01,6.495108471651095394e-02,3.986720133471590155e-01,2.122989825046748824e-01,1.712933529004508904e-01
